inmates_positive,staff_positive,inmate_deaths,staff_deaths,facility,city,state
69,3,0,0,Yazoo City Low FCI,yazoo city,MS
68,27,1,0,Lompoc USP,lompoc,CA
58,5,2,0,Terminal Island FCI,san pedro,CA
56,1,1,0,Fort Worth FMC,fort worth,TX
52,48,6,0,Elkton FCI,lisbon,OH
38,44,0,0,Milan FCI,milan,MI
37,0,0,0,Forrest City Low FCI,forrest city,AR
29,18,5,0,Butner Medium I FCI,butner,NC
17,22,7,0,Oakdale I FCI,oakdale,LA
14,21,0,0,Chicago MCC,chicago,IL
14,30,1,0,Danbury FCI,danbury,CT
12,4,0,0,Fort Dix FCI,joint base mdl,NJ
9,5,0,0,Atlanta USP,atlanta,GA
8,0,0,0,Lompoc FCI,lompoc,CA
7,0,0,0,Butner Low FCI,butner,NC
7,2,0,0,Yazoo City Medium FCI,yazoo city,MS
6,0,0,0,"Community Resources for Justice, Inc. (RRC)",boston,MA
6,2,0,0,Cumberland FCI,cumberland,MD
5,2,0,0,Forrest City Medium FCI,forrest city,AR
5,12,0,0,Otisville FCI,otisville,NY
5,6,0,0,Ray Brook FCI,ray brook,NY
4,5,0,0,Aliceville FCI,aliceville,AL
4,0,0,0,Oakdale II FCI,oakdale,LA
3,0,0,0,Central Territorial of the Salvation Army; DBA Salvation Army Correctional Ser (RRC),chicago,IL
3,0,0,0,"Kintock Group, The (RRC)",newark,NJ
3,0,0,0,Volunteers of America (RRC),metairie,LA
2,0,0,0,"CORE Services Group, Inc. (RRC)",brooklyn,NY
2,0,0,0,Carswell FMC,fort worth,TX
2,0,0,0,"Cherry Street Services, Inc. (RRC)",grand rapids,MI
2,0,0,0,Community Education Centers; DBA:  CEC (RRC),philadelphia,PA
2,0,0,0,Dismas House of St. Louis (RRC),saint louis,MO
2,0,0,0,"GEO Reentry of Alaska, Inc. (RRC)",oakland,CA
2,0,0,0,Oklahoma City FTC,oklahoma city,OK
1,2,0,0,Bennettsville FCI,bennettsville,SC
1,23,0,0,Brooklyn MDC,brooklyn,NY
1,0,0,0,Butner FMC,butner,NC
1,0,0,0,"Cherry Street Services, Inc. (RRC)",detroit,MI
1,3,0,0,Coleman Low FCI,sumterville,FL
1,0,0,0,"Community Solutions, Inc. (RRC)",hartford,CT
1,0,0,0,"Community Solutions, Inc. (RRC)",wilmington,DE
1,0,0,0,"Kintock Group, The (RRC)",philadelphia,PA
1,28,0,0,New York MCC,new york,NY
1,0,0,0,Pioneer Human Services; DBA:  Pioneer Industries (RRC),seattle,WA
1,0,0,0,Seagoville FCI,seagoville,TX
1,0,0,0,"Volunteers of America of Western New York, Inc. (RRC)",rochester,NY
1,3,0,0,Yazoo City USP,yazoo city,MS
0,1,0,0,Allenwood Medium FCI,white deer,PA
0,1,0,0,Allenwood USP,allenwood,PA
0,0,1,0,"Behavioral Systems Southwest, Inc. (RRC)",phoenix,AZ
0,2,0,0,Canaan USP,waymart,PA
0,1,0,0,Central Office HQ,washington,DC
0,1,0,0,Englewood FCI,littleton,CO
0,1,0,0,Fairton FCI,fairton,NJ
0,1,0,0,Grand Prairie,grand prairie,TX
0,1,0,0,Los Angeles MDC,los angeles,CA
0,1,0,0,McCreary USP,pine knot,KY
0,1,0,0,Memphis FCI,memphis,TN
0,7,0,0,Miami FDC,miami,FL
0,1,0,0,Southeast RO,atlanta,GA
0,5,0,0,Talladega FCI,talladega,AL
0,1,0,0,Tallahassee FCI,tallahassee,FL
0,1,0,0,Tucson USP,tucson,AZ
